accuracy,f1,precision,recall,auc,fold,model
0.9741379310344828,0.9565217391304348,0.9705882352941176,0.9428571428571428,0.9940035273368607,1,mlp_bert
0.9310344827586207,0.8787878787878788,0.9354838709677419,0.8285714285714286,0.9844797178130511,2,mlp_bert
0.9568965517241379,0.9230769230769231,1.0,0.8571428571428571,0.9738977072310406,3,mlp_bert
0.9310344827586207,0.8787878787878788,0.9354838709677419,0.8285714285714286,0.9738977072310405,4,mlp_bert
0.9310344827586207,0.8888888888888888,0.8648648648648649,0.9142857142857143,0.9679012345679012,5,mlp_bert
0.9137931034482759,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9414462081128747,6,mlp_bert
0.9655172413793104,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.9858906525573192,7,mlp_bert
0.9310344827586207,0.8709677419354839,1.0,0.7714285714285715,0.9830687830687831,8,mlp_bert
0.9482758620689655,0.9117647058823529,0.9393939393939394,0.8857142857142857,0.9851851851851852,9,mlp_bert
0.9137931034482759,0.8387096774193549,0.9629629629629629,0.7428571428571429,0.9569664902998236,10,mlp_bert
0.9568965517241379,0.9253731343283582,0.96875,0.8857142857142857,0.9929453262786596,1,logreg_bert
0.9396551724137931,0.8923076923076924,0.9666666666666667,0.8285714285714286,0.9802469135802468,2,logreg_bert
0.9568965517241379,0.9230769230769231,1.0,0.8571428571428571,0.9795414462081129,3,logreg_bert
0.896551724137931,0.8064516129032258,0.9259259259259259,0.7142857142857143,0.9569664902998235,4,logreg_bert
0.9224137931034483,0.8524590163934426,1.0,0.7428571428571429,0.964021164021164,5,logreg_bert
0.896551724137931,0.8064516129032258,0.9259259259259259,0.7142857142857143,0.9347442680776014,6,logreg_bert
0.9137931034482759,0.8333333333333334,1.0,0.7142857142857143,0.9862433862433861,7,logreg_bert
0.9482758620689655,0.90625,1.0,0.8285714285714286,0.982363315696649,8,logreg_bert
0.9310344827586207,0.8709677419354839,1.0,0.7714285714285715,0.981657848324515,9,logreg_bert
0.9137931034482759,0.8387096774193549,0.9629629629629629,0.7428571428571429,0.9432098765432099,10,logreg_bert
0.9741379310344828,0.9577464788732394,0.9444444444444444,0.9714285714285714,0.9947089947089948,1,rf_bert
0.9568965517241379,0.9253731343283582,0.96875,0.8857142857142857,0.9873015873015873,2,rf_bert
0.9396551724137931,0.8955223880597015,0.9375,0.8571428571428571,0.973015873015873,3,rf_bert
0.9482758620689655,0.9117647058823529,0.9393939393939394,0.8857142857142857,0.9793650793650793,4,rf_bert
0.9224137931034483,0.8615384615384616,0.9333333333333333,0.8,0.9460317460317461,5,rf_bert
0.9224137931034483,0.8656716417910447,0.90625,0.8285714285714286,0.9338624338624337,6,rf_bert
0.9568965517241379,0.927536231884058,0.9411764705882353,0.9142857142857143,0.9947089947089948,7,rf_bert
0.9568965517241379,0.927536231884058,0.9411764705882353,0.9142857142857143,0.9813051146384479,8,rf_bert
0.9482758620689655,0.90625,1.0,0.8285714285714286,0.9700176366843034,9,rf_bert
0.9310344827586207,0.8823529411764706,0.9090909090909091,0.8571428571428571,0.9435626102292769,10,rf_bert
