model,accuracy,f1,precision,recall,auc
gating_mistral,0.9503280628159623,0.311950757278577,0.5247191591570918,0.229247311827957,0.8812376426873929
mlp_avg_eng,0.9506292352371732,0.08664396336467052,0.6305158644547559,0.04849462365591398,0.8677495203171264
mlp_source,0.950591588684522,0.08402499589686248,0.6665115494970305,0.0467741935483871,0.8703073744545737
gating_bert,0.950053780789502,0.006332992849846783,0.06326530612244899,0.003333333333333333,0.8684657513733052
mlp_text,0.9499784876841992,0.0059118551401290504,0.312989417989418,0.003010752688172043,0.8280886433253467
