accuracy,f1,precision,recall,auc,model,fold
0.9499838657631494,0.0,0.0,0.0,0.8225625657433381,mlp_text,1
0.9505754544476713,0.04171011470281543,0.6896551724137931,0.021505376344086023,0.8207214783485273,mlp_text,2
0.9501989889211574,0.06464646464646465,0.5333333333333333,0.034408602150537634,0.8231811009817672,mlp_text,3
0.9496611810261375,0.06772908366533864,0.4594594594594595,0.03655913978494624,0.8198523270706716,mlp_text,4
0.9502527697106593,0.019088016967126194,0.6923076923076923,0.00967741935483871,0.8388079271856007,mlp_text,5
0.9500914273421533,0.02109704641350211,0.5555555555555556,0.010752688172043012,0.8376128593969147,mlp_text,6
0.9499838657631494,0.0,0.0,0.0,0.8298595588378526,mlp_text,7
0.9499300849736474,0.0,0.0,0.0,0.8283472185698144,mlp_text,8
0.9499300849736474,0.0021436227224008574,0.3333333333333333,0.001075268817204301,0.8214497380006234,mlp_text,9
0.9500914273421533,0.004291845493562232,1.0,0.002150537634408602,0.8381041995383356,mlp_text,10
0.9513283855006992,0.0698869475847893,0.7906976744186046,0.03655913978494624,0.863932139483014,mlp_source,1
0.9504678928686673,0.025396825396825397,0.8,0.012903225806451613,0.8667158828599812,mlp_source,2
0.9505754544476713,0.05549845837615622,0.627906976744186,0.02903225806451613,0.8694050288783698,mlp_source,3
0.9500914273421533,0.03734439834024896,0.5294117647058824,0.01935483870967742,0.8690832213261649,mlp_source,4
0.9514359470797031,0.14730878186968838,0.6046511627906976,0.08387096774193549,0.8746021006213963,mlp_source,5
0.9505754544476713,0.07077856420626896,0.5932203389830508,0.03763440860215054,0.874690762817516,mlp_source,6
0.9503065505001613,0.14444444444444443,0.52,0.08387096774193549,0.8718874181860683,mlp_source,7
0.9507367968161773,0.10196078431372549,0.5777777777777777,0.05591397849462366,0.8694210690353747,mlp_source,8
0.9508443583951812,0.09504950495049505,0.6,0.05161290322580645,0.8682717172159888,mlp_source,9
0.9499838657631494,0.00641025641025641,0.5,0.0032258064516129032,0.8730332393447094,mlp_source,10
0.9970420565773905,0.9696635410921125,0.9954699886749717,0.9451612903225807,0.9999074114656381,mlp_avg_eng,1
0.9967193718403786,0.9681794470526864,0.9402228976697061,0.9978494623655914,0.9999376655758143,mlp_avg_eng,2
0.9969882757878885,0.9691289966923925,0.994343891402715,0.9451612903225807,0.9999184904355618,mlp_avg_eng,3
0.9975260836829085,0.9747252747252747,0.996629213483146,0.953763440860215,0.9999292041647188,mlp_avg_eng,4
0.9938152092072712,0.9417721518987342,0.8899521531100478,1.0,0.9999234211859124,mlp_avg_eng,5
0.994729482628805,0.9498464687819856,0.90625,0.9978494623655914,0.9998908538842138,mlp_avg_eng,6
0.9972571797353985,0.9719626168224299,0.9943757030371203,0.9505376344086022,0.9999231168186068,mlp_avg_eng,7
0.9932774013122513,0.9279538904899135,1.0,0.8655913978494624,0.9999379699431199,mlp_avg_eng,8
0.9976336452619124,0.9761904761904762,0.9825708061002179,0.9698924731182795,0.9999133161913667,mlp_avg_eng,9
0.9964504678928686,0.9656607700312175,0.9354838709677419,0.9978494623655914,0.9999341349150693,mlp_avg_eng,10
0.994783263418307,0.950383631713555,0.9063414634146342,0.9989247311827957,0.9999348653966028,gating_bert,1
0.9954824136818329,0.9527027027027027,1.0,0.9096774193548387,0.9999320043439301,gating_bert,2
0.9979563299989244,0.9794372294372294,0.985838779956427,0.9731182795698925,0.9999469792153655,gating_bert,3
0.9961815639453587,0.9632314862765406,0.929070929070929,1.0,0.9999524578268661,gating_bert,4
0.9964504678928686,0.9656607700312175,0.9354838709677419,0.9978494623655914,0.9999461878603709,gating_bert,5
0.9979025492094223,0.9789983844911146,0.9805825242718447,0.9774193548387097,0.9999327956989248,gating_bert,6
0.9983327955254383,0.9831613253666486,0.9934138309549945,0.9731182795698925,0.9999607366175782,gating_bert,7
0.9924706894697214,0.93,0.8691588785046729,1.0,0.9999494141538102,gating_bert,8
0.9974723028934065,0.9753021544929059,0.9537512846865365,0.9978494623655914,0.9999499620149602,gating_bert,9
0.9979563299989244,0.9793926247288504,0.9879649890590809,0.9709677419354839,0.9999445442769206,gating_bert,10
0.9973647413144024,0.9732970027247957,0.9867403314917127,0.9602150537634409,0.9998865318684743,gating_mistral,1
0.9977949876304184,0.9778018408229562,0.9847328244274809,0.9709677419354839,0.9999138031790556,gating_mistral,2
0.9970420565773905,0.9702863317125878,0.9750271444082519,0.9655913978494624,0.999855608150226,gating_mistral,3
0.9969344949983866,0.9686641011544805,0.9910011248593926,0.9473118279569892,0.9999052200210379,gating_mistral,4
0.9969344949983866,0.9701101206082853,0.946775844421699,0.9946236559139785,0.9999049765271932,gating_mistral,5
0.9974185221039045,0.9738276990185387,0.9878318584070797,0.9602150537634409,0.9998840969300297,gating_mistral,6
0.9979025492094223,0.9791555318011759,0.973432518597237,0.9849462365591398,0.9999153858890447,gating_mistral,7
0.9970958373668926,0.971030042918455,0.9689507494646681,0.9731182795698925,0.9998530514648589,gating_mistral,8
0.9977949876304184,0.977729494839761,0.9879253567508233,0.967741935483871,0.9999047330333489,gating_mistral,9
0.9976874260514145,0.9768443726440496,0.9784250269687162,0.975268817204301,0.9999031503233597,gating_mistral,10
