accuracy,f1,precision,recall,auc,fold,model
0.9831666128858771,0.9817162217419242,0.9812003736571695,0.9822326125073056,0.9985332248066555,1,mlp_bert
0.984188447886415,0.9828009828009828,0.9837217472771987,0.9818819403857393,0.9986453416130626,2,mlp_bert
0.984296009465419,0.9829518916394209,0.981919981336755,0.9839859731151374,0.9986360849030104,3,mlp_bert
0.9859632139399807,0.984683997417992,0.9888037713612257,0.9805984104721832,0.9989318639660175,4,mlp_bert
0.9833808422524606,0.9817343500620678,0.9930638603204975,0.9706604324956166,0.998841934255906,5,mlp_bert
0.973270947617511,0.9707870452007289,0.976353747930953,0.9652834599649328,0.9956587310657343,1,logreg_bert
0.9717113047219533,0.9690624632396189,0.9752574878655144,0.9629456458211573,0.9961108194697604,2,logreg_bert
0.9721415510379693,0.9695723684210527,0.9744952178533475,0.9646990064289889,0.9960830726269245,3,logreg_bert
0.9696138539313757,0.9668407770409062,0.9710008251797713,0.9627162225338943,0.9961377597294843,4,logreg_bert
0.9712257301134836,0.968523857151262,0.9750059227671168,0.9621274108708358,0.9959296112528092,5,logreg_bert
0.946918360761536,0.9418145375228438,0.9500475737392959,0.9337229690239626,0.9887250884612548,1,rf_bert
0.9485855652360977,0.943498817966903,0.9542139868499702,0.93302162478083,0.989009438292937,2,rf_bert
0.9485317844465957,0.9434363733081151,0.954208512673362,0.9329047340736412,0.9889831352639957,3,rf_bert
0.9471872647090459,0.9420922278570586,0.9507260176148536,0.9336138382421693,0.9886954584267489,4,rf_bert
0.952132522992524,0.9475359585003537,0.9557616839100963,0.9394506136762127,0.9899953933090493,5,rf_bert
0.9726793589329892,0.9702087731644382,0.9735200659056138,0.9669199298655757,0.9962655870043708,1,xgboost_bert
0.9717650855114554,0.9691339878887648,0.9749231133191388,0.9634132086499123,0.9966192282593501,2,xgboost_bert
0.9730020436700011,0.9704636385031772,0.9770169411207202,0.9639976621858563,0.9967905996537524,3,xgboost_bert
0.9715499623534474,0.9689061306060072,0.9745772732647511,0.9633006077606359,0.9967933097800123,4,xgboost_bert
0.9711719464314527,0.968503937007874,0.9737681673165545,0.9632963179427235,0.9964927547674185,5,xgboost_bert
0.9883833494675702,0.9872911273240762,0.9939580618410141,0.9807130333138515,0.9992583104734317,1,mlp_mistral
0.989136280520598,0.988243510650681,0.9841196244349136,0.9924021040327294,0.9994387639229798,2,mlp_mistral
0.9898892115736259,0.9890161252629119,0.9886695479500058,0.9893629456458212,0.9994649330498258,3,mlp_mistral
0.9897278692051199,0.9888701124643086,0.9860546194073213,0.9917017297802712,0.9994939752549474,4,mlp_mistral
0.9841875974829237,0.9825602088029423,0.997470793689028,0.9680888369374635,0.9994038899988343,5,mlp_mistral
0.9754221791975907,0.9731602748575792,0.9779272898961284,0.9684395090590298,0.9972339320251254,1,logreg_mistral
0.9753683984080886,0.9730968045112782,0.9780375487070493,0.9682057276446523,0.9969846412550376,2,logreg_mistral
0.9752070560395827,0.972880757691629,0.9792752250118427,0.9665692577440094,0.9976234590415904,3,logreg_mistral
0.9746154673550608,0.9722646609472323,0.9776648546442921,0.9669237961664329,0.9970192627529181,4,logreg_mistral
0.9742913999892433,0.9719252907318219,0.9767441860465116,0.9671537112799532,0.9969183496634473,5,logreg_mistral
0.9284177691728515,0.918895862531229,0.959775967413442,0.8813559322033898,0.9839222357178715,1,rf_mistral
0.9299774120684091,0.9206581352833638,0.9616804583068109,0.8829924021040327,0.9839727575605344,2,rf_mistral
0.9317521781219749,0.9226643914924736,0.9638400814871403,0.8848626534190532,0.9845602792010051,3,rf_mistral
0.9328815747015167,0.9240506329113924,0.9639410868461148,0.887330528284245,0.9853366114794636,4,rf_mistral
0.9301349970418975,0.9207878529178608,0.9625191228964813,0.8825248392752776,0.983545647521301,5,rf_mistral
0.9577282994514359,0.9534966276180333,0.9653767820773931,0.9419053185271771,0.9932479693892824,1,xgboost_mistral
0.9600408734000215,0.9560120774376887,0.9685700575815739,0.9437755698421976,0.9933151533100394,2,xgboost_mistral
0.9600408734000215,0.9560900655989599,0.9668897920153,0.9455289304500292,0.9936236404498202,3,xgboost_mistral
0.9590190383994837,0.9548845470692717,0.9676025917926566,0.9424964936886395,0.9934714657466657,4,xgboost_mistral
0.9579411606518582,0.9536729857819906,0.9668468468468469,0.9408533021624781,0.9931571308979124,5,xgboost_mistral
