model,accuracy,f1,precision,recall,auc
mlp_mistral,0.9893836721523073,0.988464732310862,0.9882504013906223,0.9887434248977206,0.9994694234274755
mlp_bert,0.9822738517801441,0.9806762751512819,0.9837853518001115,0.9777089421391001,0.9985983245121932
logreg_mistral,0.9748467247499193,0.9725196629850931,0.9777197968503877,0.967375803623612,0.9971514937448219
xgboost_bert,0.972243734538023,0.9696746245555973,0.9749202930895435,0.9644886031560491,0.996661185025391
logreg_bert,0.9711143379584813,0.9684360172320234,0.9738113038013289,0.9631209818819404,0.9959589267549136
xgboost_mistral,0.9591104657416369,0.9550294146254752,0.9666212569198989,0.9437171244886031,0.9932757092459223
rf_bert,0.9488759814994084,0.9439195657857141,0.9529173912336985,0.9351022793687902,0.9892821654227648
rf_mistral,0.9311444552006023,0.922008128607029,0.9626818552265007,0.8846405610753945,0.9842776142069891
