model,accuracy,f1,precision,recall,auc
rf_bert,0.9463268365817091,0.9071359788815986,0.9381057422969187,0.879327731092437,0.9644256146903206
mlp_bert,0.9394752623688156,0.8984939040571472,0.9130088702147525,0.8852100840336135,0.9705109969913892
mlp_mistral,0.9429085457271364,0.8966926254297942,0.9637499999999999,0.8452100840336134,0.9812962962962963
xgboost_bert,0.9377061469265368,0.8938969759172803,0.9162756598240469,0.8736134453781512,0.9694651416122004
rf_mistral,0.9307796101949025,0.8767057282426135,0.9462766437182456,0.8216806722689075,0.956399885880278
xgboost_mistral,0.9255622188905548,0.8687890463080089,0.9093655881155881,0.8384873949579832,0.9644128540305011
logreg_bert,0.9273463268365816,0.865432864626413,0.9712939244663383,0.7816806722689076,0.9683908600477228
logreg_mistral,0.8598950524737632,0.6919215774478932,1.0,0.534453781512605,0.9824351073762838
