model,accuracy,f1,precision,recall,auc
xgboost_bert,0.7698275862068965,0.7773985977896114,0.7542230490567874,0.803448275862069,0.8613555291319857
mlp_bert,0.7482758620689655,0.7721724887897804,0.7039515712954664,0.8586206896551725,0.8064803804994055
logreg_mistral,0.7551724137931035,0.7718903014222662,0.7233689902917295,0.8275862068965518,0.80820451843044
logreg_bert,0.7491379310344828,0.7656953718876823,0.7197134687208216,0.8189655172413793,0.8085909631391202
rf_bert,0.7612068965517241,0.7645297399684556,0.7549361959243664,0.7758620689655172,0.8615041617122474
mlp_mistral,0.75,0.7600667905139324,0.7345931046500306,0.796551724137931,0.809423305588585
xgboost_mistral,0.7362068965517241,0.7400844763707799,0.7311253852408484,0.75,0.8310344827586207
rf_mistral,0.7491379310344828,0.7399628296539051,0.7680361821295993,0.7155172413793103,0.8492122473246135
