accuracy,f1,precision,recall,auc,fold,model
0.7413793103448276,0.7727272727272727,0.6891891891891891,0.8793103448275862,0.7669441141498217,1,mlp_bert
0.7241379310344828,0.7575757575757576,0.6756756756756757,0.8620689655172413,0.7889417360285375,2,mlp_bert
0.7327586206896551,0.7669172932330827,0.68,0.8793103448275862,0.775564803804994,3,mlp_bert
0.7043478260869566,0.6730769230769231,0.7608695652173914,0.603448275862069,0.8212341197822142,4,mlp_bert
0.7304347826086957,0.7479674796747967,0.696969696969697,0.8070175438596491,0.7882637628554144,5,mlp_bert
0.7327586206896551,0.7596899224806202,0.6901408450704225,0.8448275862068966,0.761296076099881,1,logreg_bert
0.7068965517241379,0.7384615384615385,0.6666666666666666,0.8275862068965517,0.7725921521997622,2,logreg_bert
0.7155172413793104,0.7317073170731707,0.6923076923076923,0.7758620689655172,0.7794292508917955,3,logreg_bert
0.782608695652174,0.7967479674796748,0.7538461538461538,0.8448275862068966,0.8327283726557774,4,logreg_bert
0.7304347826086957,0.7479674796747967,0.696969696969697,0.8070175438596491,0.7897761645493042,5,logreg_bert
0.7327586206896551,0.743801652892562,0.7142857142857143,0.7758620689655172,0.8525564803804995,1,rf_bert
0.8017241379310345,0.8034188034188035,0.7966101694915254,0.8103448275862069,0.8610285374554102,2,rf_bert
0.7672413793103449,0.7652173913043478,0.7719298245614035,0.7586206896551724,0.8510701545778835,3,rf_bert
0.7739130434782608,0.7796610169491526,0.7666666666666667,0.7931034482758621,0.8738656987295826,4,rf_bert
0.7478260869565218,0.7563025210084033,0.7258064516129032,0.7894736842105263,0.8357531760435571,5,rf_bert
0.7413793103448276,0.7457627118644068,0.7333333333333333,0.7586206896551724,0.866230677764566,1,xgboost_bert
0.7586206896551724,0.7704918032786885,0.734375,0.8103448275862069,0.853448275862069,2,xgboost_bert
0.75,0.7563025210084033,0.7377049180327869,0.7758620689655172,0.8495838287752675,3,xgboost_bert
0.7217391304347827,0.7288135593220338,0.7166666666666667,0.7413793103448276,0.8475499092558983,4,xgboost_bert
0.7391304347826086,0.7457627118644068,0.7213114754098361,0.7719298245614035,0.8424077434966727,5,xgboost_bert
0.6896551724137931,0.6785714285714286,0.7037037037037037,0.6551724137931034,0.780321046373365,1,mlp_mistral
0.7327586206896551,0.7479674796747967,0.7076923076923077,0.7931034482758621,0.7731866825208086,2,mlp_mistral
0.7241379310344828,0.7142857142857143,0.7407407407407407,0.6896551724137931,0.7815101070154578,3,mlp_mistral
0.782608695652174,0.8120300751879699,0.72,0.9310344827586207,0.8442226255293406,4,mlp_mistral
0.6956521739130435,0.7445255474452555,0.6375,0.8947368421052632,0.7489413188142771,5,mlp_mistral
0.75,0.7819548872180451,0.6933333333333334,0.896551724137931,0.7687277051129607,1,logreg_mistral
0.7068965517241379,0.7384615384615385,0.6666666666666666,0.8275862068965517,0.7719976218787158,2,logreg_mistral
0.7672413793103449,0.773109243697479,0.7540983606557377,0.7931034482758621,0.7859690844233056,3,logreg_mistral
0.782608695652174,0.7899159663865546,0.7704918032786885,0.8103448275862069,0.8393829401088928,4,logreg_mistral
0.6869565217391305,0.7,0.6666666666666666,0.7368421052631579,0.7456140350877193,5,logreg_mistral
0.7155172413793104,0.7317073170731707,0.6923076923076923,0.7758620689655172,0.8124256837098691,1,rf_mistral
0.7586206896551724,0.7543859649122807,0.7678571428571429,0.7413793103448276,0.8541914387633769,2,rf_mistral
0.7586206896551724,0.7407407407407407,0.8,0.6896551724137931,0.8335315101070153,3,rf_mistral
0.7304347826086957,0.6990291262135923,0.8,0.6206896551724138,0.8749243799153054,4,rf_mistral
0.7739130434782608,0.7678571428571429,0.7818181818181819,0.7543859649122807,0.8330308529945554,5,rf_mistral
0.7155172413793104,0.7441860465116279,0.676056338028169,0.8275862068965517,0.8058858501783591,1,xgboost_mistral
0.75,0.7563025210084033,0.7377049180327869,0.7758620689655172,0.8228299643281808,2,xgboost_mistral
0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.8219381688466112,3,xgboost_mistral
0.7565217391304347,0.7543859649122807,0.7678571428571429,0.7413793103448276,0.8605565638233514,4,xgboost_mistral
0.7478260869565218,0.7521367521367521,0.7333333333333333,0.7719298245614035,0.809134906231095,5,xgboost_mistral
