dataset,task,metric,fold,model,value
evons,disinformation,accuracy,10,logreg_bert,0.9697751962998817
evons,disinformation,f1,10,logreg_bert,0.9669683789820148
evons,disinformation,precision,10,logreg_bert,0.972455372975529
evons,disinformation,recall,10,logreg_bert,0.9615429573348919
evons,disinformation,auc,10,logreg_bert,0.995832372973923
evons,disinformation,accuracy,1,rf_bert,0.946703237603528
evons,disinformation,f1,1,rf_bert,0.9416681382070752
evons,disinformation,precision,1,rf_bert,0.9484230495612995
evons,disinformation,recall,1,rf_bert,0.9350087668030391
evons,disinformation,auc,1,rf_bert,0.9888240304658704
evons,disinformation,accuracy,2,rf_bert,0.9487469076046037
evons,disinformation,f1,2,rf_bert,0.9440432153132523
evons,disinformation,precision,2,rf_bert,0.9484426616328456
evons,disinformation,recall,2,rf_bert,0.9396843950905903
evons,disinformation,auc,2,rf_bert,0.9892723579675735
evons,disinformation,accuracy,3,rf_bert,0.9491771539206195
evons,disinformation,f1,3,rf_bert,0.944172032846931
evons,disinformation,precision,3,rf_bert,0.9544911610129001
evons,disinformation,recall,3,rf_bert,0.9340736411455289
evons,disinformation,auc,3,rf_bert,0.9887687289005958
evons,disinformation,accuracy,4,rf_bert,0.9499300849736474
evons,disinformation,f1,4,rf_bert,0.9450186027284002
evons,disinformation,precision,4,rf_bert,0.9550011936022917
evons,disinformation,recall,4,rf_bert,0.9352425482174167
evons,disinformation,auc,4,rf_bert,0.9895761003157236
evons,disinformation,accuracy,5,rf_bert,0.9477250726040658
evons,disinformation,f1,5,rf_bert,0.9426210153482881
evons,disinformation,precision,5,rf_bert,0.9521765056648778
evons,disinformation,recall,5,rf_bert,0.9332554061952075
evons,disinformation,auc,5,rf_bert,0.9895981650522634
evons,disinformation,accuracy,6,rf_bert,0.9505216736581693
evons,disinformation,f1,6,rf_bert,0.9455363485673691
evons,disinformation,precision,6,rf_bert,0.9578985246491544
evons,disinformation,recall,6,rf_bert,0.933489187609585
evons,disinformation,auc,6,rf_bert,0.9894105740388639
evons,disinformation,accuracy,7,rf_bert,0.9493922770786275
evons,disinformation,f1,7,rf_bert,0.9443359952676723
evons,disinformation,precision,7,rf_bert,0.9559281437125748
evons,disinformation,recall,7,rf_bert,0.93302162478083
evons,disinformation,auc,7,rf_bert,0.9896915413871872
evons,disinformation,accuracy,8,rf_bert,0.9484780036570937
evons,disinformation,f1,8,rf_bert,0.9436271625279511
evons,disinformation,precision,8,rf_bert,0.9501125725796895
evons,disinformation,recall,8,rf_bert,0.937229690239626
evons,disinformation,auc,8,rf_bert,0.9891775436405849
evons,disinformation,accuracy,9,rf_bert,0.9496611810261375
evons,disinformation,f1,9,rf_bert,0.9446546830652791
evons,disinformation,precision,9,rf_bert,0.9558453990666507
evons,disinformation,recall,9,rf_bert,0.9337229690239626
evons,disinformation,auc,9,rf_bert,0.9895165429925569
evons,disinformation,accuracy,10,rf_bert,0.9484242228675916
evons,disinformation,f1,10,rf_bert,0.9435184639849226
evons,disinformation,precision,10,rf_bert,0.9508547008547008
evons,disinformation,recall,10,rf_bert,0.9362945645821157
evons,disinformation,auc,10,rf_bert,0.9889860694664275
evons,disinformation,accuracy,1,xgboost_bert,0.973270947617511
evons,disinformation,f1,1,xgboost_bert,0.9708213467973933
evons,disinformation,precision,1,xgboost_bert,0.9752300070771408
evons,disinformation,recall,1,xgboost_bert,0.9664523670368206
evons,disinformation,auc,1,xgboost_bert,0.9966569420755256
evons,disinformation,accuracy,2,xgboost_bert,0.9717650855114554
evons,disinformation,f1,2,xgboost_bert,0.9691810977399472
evons,disinformation,precision,2,xgboost_bert,0.9734669811320755
evons,disinformation,recall,2,xgboost_bert,0.9649327878433664
evons,disinformation,auc,2,xgboost_bert,0.9966343300869449
evons,disinformation,accuracy,3,xgboost_bert,0.9717113047219533
evons,disinformation,f1,3,xgboost_bert,0.9690369672710148
evons,disinformation,precision,3,xgboost_bert,0.976046484050753
evons,disinformation,recall,3,xgboost_bert,0.9621274108708358
evons,disinformation,auc,3,xgboost_bert,0.9966299753579391
evons,disinformation,accuracy,4,xgboost_bert,0.9710659352479294
evons,disinformation,f1,4,xgboost_bert,0.9683603857915785
evons,disinformation,precision,4,xgboost_bert,0.9744348443602793
evons,disinformation,recall,4,xgboost_bert,0.9623611922852133
evons,disinformation,auc,4,xgboost_bert,0.9964035178059804
evons,disinformation,accuracy,5,xgboost_bert,0.9721953318274712
evons,disinformation,f1,5,xgboost_bert,0.9696114735790278
evons,disinformation,precision,5,xgboost_bert,0.9751714353275006
evons,disinformation,recall,5,xgboost_bert,0.964114552893045
evons,disinformation,auc,5,xgboost_bert,0.9967892955637829
evons,disinformation,accuracy,6,xgboost_bert,0.972894482090997
evons,disinformation,f1,6,xgboost_bert,0.9703947368421053
evons,disinformation,precision,6,xgboost_bert,0.9753217617192113
evons,disinformation,recall,6,xgboost_bert,0.9655172413793104
evons,disinformation,auc,6,xgboost_bert,0.9966556729165372
evons,disinformation,accuracy,7,xgboost_bert,0.973378509196515
evons,disinformation,f1,7,xgboost_bert,0.9708532061473238
evons,disinformation,precision,7,xgboost_bert,0.9781680113906027
evons,disinformation,recall,7,xgboost_bert,0.9636469900642899
evons,disinformation,auc,7,xgboost_bert,0.9968074363867533
evons,disinformation,accuracy,8,xgboost_bert,0.9714961815639453
evons,disinformation,f1,8,xgboost_bert,0.9689222469801806
evons,disinformation,precision,8,xgboost_bert,0.9721143663960466
evons,disinformation,recall,8,xgboost_bert,0.9657510227936879
evons,disinformation,auc,8,xgboost_bert,0.9965959991567661
evons,disinformation,accuracy,9,xgboost_bert,0.9736474131440249
evons,disinformation,f1,9,xgboost_bert,0.9711832509997648
evons,disinformation,precision,9,xgboost_bert,0.9772754172091371
evons,disinformation,recall,9,xgboost_bert,0.965166569257744
evons,disinformation,auc,9,xgboost_bert,0.9969488719301561
evons,disinformation,accuracy,10,xgboost_bert,0.9710121544584275
evons,disinformation,f1,10,xgboost_bert,0.9683815334076377
evons,disinformation,precision,10,xgboost_bert,0.9719736222326896
evons,disinformation,recall,10,xgboost_bert,0.9648158971361777
evons,disinformation,auc,10,xgboost_bert,0.9964898089735247
evons,disinformation,accuracy,1,mlp_mistral,0.9876304184145424
evons,disinformation,f1,1,mlp_mistral,0.98642266824085
evons,disinformation,precision,1,mlp_mistral,0.9964221824686941
evons,disinformation,recall,1,mlp_mistral,0.9766218585622443
evons,disinformation,auc,1,mlp_mistral,0.9994498137567402
evons,disinformation,accuracy,2,mlp_mistral,0.989136280520598
evons,disinformation,f1,2,mlp_mistral,0.9882503489995347
evons,disinformation,precision,2,mlp_mistral,0.9835591061711242
evons,disinformation,recall,2,mlp_mistral,0.9929865575686733
evons,disinformation,auc,2,mlp_mistral,0.9995351850751093
evons,disinformation,accuracy,3,mlp_mistral,0.9899429923631279
evons,disinformation,f1,3,mlp_mistral,0.989091757568687
evons,disinformation,precision,3,mlp_mistral,0.9871914299021891
evons,disinformation,recall,3,mlp_mistral,0.9909994155464641
evons,disinformation,auc,3,mlp_mistral,0.9994183409425624
evons,disinformation,accuracy,4,mlp_mistral,0.9899429923631279
evons,disinformation,f1,4,mlp_mistral,0.989128539038428
evons,disinformation,precision,4,mlp_mistral,0.9839232014804534
evons,disinformation,recall,4,mlp_mistral,0.9943892460549386
evons,disinformation,auc,4,mlp_mistral,0.9994512692142956
evons,disinformation,accuracy,5,mlp_mistral,0.9895127460471119
evons,disinformation,f1,5,mlp_mistral,0.9885327844751544
evons,disinformation,precision,5,mlp_mistral,0.9946745562130177
evons,disinformation,recall,5,mlp_mistral,0.9824663939216832
evons,disinformation,auc,5,mlp_mistral,0.9993964625045898
evons,disinformation,accuracy,6,mlp_mistral,0.989136280520598
evons,disinformation,f1,6,mlp_mistral,0.9881190448182566
evons,disinformation,precision,6,mlp_mistral,0.9944358944003788
evons,disinformation,recall,6,mlp_mistral,0.9818819403857393
evons,disinformation,auc,6,mlp_mistral,0.999485618012603
evons,disinformation,accuracy,7,mlp_mistral,0.9878993223620522
evons,disinformation,f1,7,mlp_mistral,0.9869300029044438
evons,disinformation,precision,7,mlp_mistral,0.98094688221709
evons,disinformation,recall,7,mlp_mistral,0.9929865575686733
evons,disinformation,auc,7,mlp_mistral,0.9993660085107006
evons,disinformation,accuracy,8,mlp_mistral,0.9908034849951597
evons,disinformation,f1,8,mlp_mistral,0.9899982453061941
evons,disinformation,precision,8,mlp_mistral,0.9907515804261298
evons,disinformation,recall,8,mlp_mistral,0.9892460549386324
evons,disinformation,auc,8,mlp_mistral,0.9994605957863106
evons,disinformation,accuracy,9,mlp_mistral,0.9890824997310961
evons,disinformation,f1,9,mlp_mistral,0.9882230086441957
evons,disinformation,precision,9,mlp_mistral,0.9809951624049759
evons,disinformation,recall,9,mlp_mistral,0.9955581531268264
evons,disinformation,auc,9,mlp_mistral,0.9996218604834484
evons,disinformation,accuracy,10,mlp_mistral,0.9907497042056578
evons,disinformation,f1,10,mlp_mistral,0.9899509231128768
evons,disinformation,precision,10,mlp_mistral,0.9896040182221703
evons,disinformation,recall,10,mlp_mistral,0.9902980713033314
evons,disinformation,auc,10,mlp_mistral,0.9995090799883959
evons,disinformation,accuracy,1,logreg_mistral,0.9759062063031085
evons,disinformation,f1,1,logreg_mistral,0.9737058340180772
