dataset,task,metric,model_a,model_b,n_folds,n_repeats,n_signflip_units,mean_diff,ci_low,ci_high,effect_size,p_value,min_possible_p,p_value_holm,holm_threshold_005,holm_feasible_005,min_folds_for_holm_005,significant_holm_005
evons,disinformation,accuracy,xgboost_bert,xgboost_mistral,5,1,5,0.01307963031930497,0.012218995374852114,0.014069054533720626,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,auc,logreg_bert,logreg_mistral,5,1,5,-0.0011719301186812192,-0.0014370197228053883,-0.0008998776056120094,-1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,auc,logreg_bert,mlp_bert,5,1,5,-0.0027336910799878435,-0.002873547544913824,-0.002593834615061863,-1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,auc,logreg_bert,mlp_mistral,5,1,5,-0.0034279757110612596,-0.0035201922844673383,-0.003350036076053264,-1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,auc,logreg_bert,rf_bert,5,1,5,0.006902296078145409,0.006400505711427473,0.007272385537901815,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,auc,logreg_bert,rf_mistral,5,1,5,0.01171649253290743,0.011212860017041493,0.01215610932586626,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,auc,logreg_bert,xgboost_bert,5,1,5,-0.0006082970640382878,-0.0006677033793802245,-0.0005487839867812872,-1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,auc,logreg_bert,xgboost_mistral,5,1,5,0.0026209268701985478,0.0024813363379862174,0.002760517402410878,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,auc,logreg_mistral,mlp_bert,5,1,5,-0.001561760961306624,-0.0018666143938282475,-0.0012521509916497032,-1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,auc,logreg_mistral,mlp_mistral,5,1,5,-0.0022560455923800403,-0.002474925668555006,-0.0020068681616798533,-1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,auc,logreg_mistral,rf_bert,5,1,5,0.008074226196826628,0.007476879160577865,0.008513715997024506,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,auc,logreg_mistral,rf_mistral,5,1,5,0.01288842265158865,0.012274306764424115,0.013288337285639185,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,auc,logreg_mistral,xgboost_bert,5,1,5,0.0005636330546429314,0.0003216653666430425,0.0008056007426428202,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,auc,logreg_mistral,xgboost_mistral,5,1,5,0.003792856988879767,0.0036391577336072345,0.0039437850529668635,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,auc,mlp_bert,mlp_mistral,5,1,5,-0.0006942846310734163,-0.0007939253160482718,-0.0005946439460985609,-1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,auc,mlp_bert,rf_bert,5,1,5,0.009635987158133252,0.00920014176499706,0.010003023179167037,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,auc,mlp_bert,rf_mistral,5,1,5,0.014450183612895273,0.013906829442839053,0.01492206512535892,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,auc,mlp_bert,xgboost_bert,5,1,5,0.0021253940159495555,0.001966041380754224,0.0022744377535098836,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,auc,mlp_bert,xgboost_mistral,5,1,5,0.005354617950186391,0.00516558397638911,0.005542957336005449,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,auc,mlp_mistral,rf_bert,5,1,5,0.010330271789206669,0.009848101973472412,0.01067161962536307,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,auc,mlp_mistral,rf_mistral,5,1,5,0.01514446824396869,0.014568550307543515,0.015596914487103541,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,auc,mlp_mistral,xgboost_bert,5,1,5,0.0028196786470229716,0.002713906681129319,0.0029254506129166246,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,auc,mlp_mistral,xgboost_mistral,5,1,5,0.006048902581259808,0.005933999584247762,0.006165665800738696,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
